1,1.281,1.27,1.0529,1.1131,0,0,0,0,0,0,0,0,0,0
0,1.0623,1.0558,0.97059,1.059,1.1245,1.5998,1.5756,1.5443,1.7217,1.7232,1.6307,2.1723,2.0924,2.2263
1,0.8744,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.83537,0.93286,0.93575,0.92927,1.086,1.19,1.8267,1.7263,1.5447,2.1297,1.5107,1.9022,2.0867,3.1096
0,1.2101,1.1486,1.1069,1.0243,1.1074,1.0481,1.0657,1.2029,1.1537,1.2163,1.0337,1.103,1.1522,1.2121
0,0.75482,0.70755,0.73538,0.58868,0.69931,0.68136,0.60064,0.67274,0.72911,0.75708,0.77645,0.84698,0.90882,1.0103
1,1.0301,1.1109,1.0193,0.99425,0.96542,0.97977,0.96214,1.0577,0.74591,0.81745,0.94406,0,0,0
0,1.1663,1.2068,1.0773,1.2414,1.452,1.345,1.4406,1.3814,1.3033,1.2959,1.2233,1.6521,1.65,1.4771
0,1.3007,1.1275,0.92169,0.937,0.99914,0.986,0.75964,1.083,1.265,1.1522,1.6944,3.6874,1.1459,1.4892
0,1.4809,1.3854,1.267,1.2675,1.3881,1.4323,1.3399,1.3167,1.3457,1.3107,1.3833,1.5795,1.5012,1.3833
1,0.6888,0.6908,0.74702,0.50287,0.52596,0.41398,0.6304,0.57318,0.5494,0,0,0,0,0
1,1.1953,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0761,1.7828,0,0,0,0,0,0,0,0,0,0,0,0
1,1.049,1.1301,1.2284,1.2547,1.5052,1.371,1.4417,1.2327,0,0,0,0,0,0
1,2.4466,1.2293,1.9348,1.1784,0.69336,0.98949,0,0,0,0,0,0,0,0
1,1.8087,1.0385,0.70624,0.62093,0.64375,0,0,0,0,0,0,0,0,0
1,1.5896,1.5389,1.5327,1.416,1.4175,1.3188,1.2287,1.0208,1.1692,0,0,0,0,0
1,0.79935,0.82753,0.91084,0.83131,0.87802,0.88193,0,0,0,0,0,0,0,0
1,0.84654,0.86145,0.87458,0,0,0,0,0,0,0,0,0,0,0
0,0.76133,0.74928,0.84641,0.7081,0.86015,0.77703,0.88582,0.86629,0.76274,0.63087,0.64095,0.69497,0.59736,0.58538
0,0.71166,0.77644,0.77126,0.8225,0.98529,1.0128,1.1318,1.2615,1.1854,1.2359,1.1728,0.95978,1.2068,1.0673
0,1.1363,1.0247,0.98818,0.97701,0.90124,0.82686,0.74374,0.82267,0.8825,0.83946,1.0016,1.0126,1.7788,1.8208
1,1.2357,1.2443,1.2319,1.167,1.1675,1.1967,1.3494,1.2231,1.0965,1.0661,0.95969,0.89618,0.78705,0.85349
0,1.702,1.3661,1.3989,1.2305,1.1678,1.2502,1.2378,1.2893,1.3093,1.303,1.3153,1.4301,1.3334,1.4439
0,1.4939,1.2082,1.1652,1.1754,1.2065,1.6303,1.8447,1.5948,1.8279,1.6851,1.6779,1.5853,1.2757,1.383
0,1.4911,1.5736,1.4984,1.5131,1.5091,1.4167,1.7877,1.5578,1.8075,2.0325,2.1132,2.5999,2.8548,3.648
1,1.0997,1.1048,0,0,0,0,0,0,0,0,0,0,0,0
1,0.93872,1.007,1.286,1.6903,3.526,2.1463,1.309,1.4306,1.2018,1.3615,1.3483,1.0629,1.1032,1.0252
1,0.75614,0.95327,1.2194,1.8674,1.5285,0.98111,0.6118,0.71491,0.74224,0.85109,1.0324,1.0849,0.99681,0.43265
0,0.87972,1.1336,1.3783,1.5809,5.6214,3.1598,2.7205,4.4404,2.1042,4.0877,2.9674,2.6592,2.3662,1.6153
0,0.70663,0.55724,0.85429,1.1787,1.5047,0.93284,0.71162,0.80435,0.72225,0.81527,1.1967,1.5302,1.2774,1.6619
1,0.97534,1.0164,0.97912,0.9753,1.1915,1.2206,0.94798,0.96777,1.146,1.038,1.4104,2.0463,1.2172,0
0,1.4438,1.5411,1.2741,1.2337,1.3288,1.2665,1.2202,1.1835,1.1423,3.507,1.797,2.2937,1.5587,1.3925
0,0.99126,0.51857,0.51962,0.67697,1.0367,1.5034,1.4539,0.89499,1.257,1.3161,1.251,1.8993,1.9159,1.6375
1,0.55094,0.43567,0.41864,0.4965,0.49696,0.78466,0.74759,0.61059,1.0025,0,0,0,0,0
1,0.99278,1.1447,1.0655,1.0725,0.98674,1.1572,1.0595,1.0551,1.3824,0,0,0,0,0
1,1.6253,1.3654,1.3464,1.129,1.0039,1.534,1.59,1.5293,1.4422,2.5101,0,0,0,0
0,2.3683,3.0698,1.1346,1.5398,2.1672,2.0536,1.8006,1.656,1.5543,1.5125,1.4793,1.5531,1.6868,1.2644
0,1.0286,1.1438,1.157,1.0029,1.2235,1.3385,1.1522,1.1189,1.3225,1.0798,1.1951,1.2047,1.4698,1.3889
0,1.0567,0.98847,0.9857,0.92939,0.84487,0.73484,0.70865,0.76568,0.79135,0.81199,0.87008,0.96661,1.0128,0.8371
1,1.0577,1.1931,1.0767,1.0004,0.99525,1.0586,1.1821,1.1891,1.2083,0,0,0,0,0
1,1.105,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.2184,1.4544,1.2538,1.7237,2.2587,2.0229,1.4226,1.5202,1.7227,2.4616,2.4259,2.9723,3.445,3.6411
1,1.0113,1.015,0.97776,0.97149,0.99072,0.973,0.93811,0.90207,0.92375,0,0,0,0,0
0,1.1104,1.0759,1.0706,0.97527,0.97068,1.2808,1.0324,1.1129,0.97277,1.3149,1.2492,1.7741,1.846,1.846
