1	1.2375	1.1336	1.094	1.1033	1.1885	1.0887	1.1153	0.9871	0.0	0.0	0.0	0.0	0.0	0.0
0	0.0	0.0	0.0	0.0	0.0	1.5987	1.6933	1.8185	1.9569	1.1029	0.75153	1.0498	1.1031	0.99832
0	1.1104	1.0759	1.0706	0.97527	0.97068	1.2808	1.0324	1.1129	0.97277	1.3149	1.2492	1.7741	1.846	1.846
1	2.4466	1.2293	1.9348	1.1784	0.6933600000000001	0.98949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2535	1.1814	1.3644	1.8318	1.6149	1.4709
1	1.1014	1.1274	1.2351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1327	1.2443	0.8426299999999999	1.0119	0.41122	0.48777
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65596	0.61742	0.52142
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5038	1.1437	1.7221	2.1232	1.9624
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4194	1.4378
1	0.0	0.0	0.0	1.1503	1.2998	1.2839	1.274	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3949	3.6883	2.3162	3.3967	2.3686
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7394	1.8833	2.2276
1	2.0761	1.7828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.6793100000000001	0.91123	0.8391799999999999	0.73347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1.5151	1.4273	1.1698	1.0748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0633
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2809	6.8481	6.6313	0.65913	0.80819
1	0.90109	0.95295	0.97382	1.0173	1.0339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	1.1448	1.4927	1.3997	1.8474	1.3389	1.3883	1.3353	1.5306	1.4342	1.5801	1.5978	2.1199	2.6368	2.5084
0	0.0	0.0	1.3065	1.3433	1.5409	1.242	1.1384	1.1027	0.9333	0.8394799999999999	0.74775	0.67472	0.95754	1.5949
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5388	1.5013
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.979	51.95399999999999	2.8748
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.123	9.2175	8.0453
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5277	4.165	0.9782	0.91064	0.83089	0.8277700000000001	0.86459
0	1.0996	1.3218	1.1582	1.0379	1.3631	1.5209	1.3529	1.285	1.3549	1.5796	1.5424	1.6353	1.4499	1.5867
0	0.0	0.0	0.0	0.68716	0.92396	0.96463	1.3234	1.1472	1.1296	1.1707	1.2361	1.2182	1.5195	1.1696
0	0.0	1.27	0.91678	1.2789	1.8133	2.4545	3.3207	1.7456	7.2444	4.9653	1.7941	1.61	0.8571	0.54869
1	1.0334	0.98375	0.99624	0.95516	0.97704	1.0459	1.2414	1.1383	1.2057	1.1903	0.7995899999999999	0.82876	0.0	0.0
0	0.0	1.0851	1.5674	1.2357	1.2249	1.0653	0.99891	0.78403	1.1387	1.2347	1.1136	0.94904	0.62057	0.6944
1	0.93872	1.007	1.286	1.6903	3.526	2.1463	1.3090000000000002	1.4306	1.2018	1.3615	1.3483	1.0629	1.1032	1.0252
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1696	6.0951	5.329
1	1.1117	1.1034	1.0332	0.95389	0.8504299999999999	0.8339700000000001	0.84144	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	1.702	1.3661	1.3989	1.2305	1.1678	1.2502	1.2378	1.2893	1.3093	1.3030000000000002	1.3153	1.4301	1.3334	1.4439
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4174	1.6734	1.614
0	0.0	0.0	1.0537	1.193	1.3759	1.7486	1.2856	1.2608	1.2758	1.418	1.4062	1.784	1.5597	1.8485
0	0.0	0.0	1.0542	0.5541	0.61263	0.6654	0.92146	0.9885	1.1535	0.86469	0.96212	1.4191	1.4869	1.7990000000000002
0	1.4438	1.5411	1.2741	1.2337	1.3288	1.2665	1.2202	1.1835	1.1423	3.507	1.797	2.2937	1.5587	1.3925
0	0.0	1.2025	1.2985	1.0332	1.5046	1.4659	1.7244	1.8094	1.9131	1.08	1.5964	2.3728	2.0097	1.0911
1	1.1453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1.327	1.1786	1.0536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	1.4165	0.91045	1.209	1.1507	1.0607	1.0367	1.0564	1.0463	0.99714	1.1114	1.0529	1.0415	1.0615	1.0776
